,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011
ACT_dwellings,133,123,75,75,119,106,69,81,95,92,109,116,116,120,74,79,96,124,95,122,90,,,,,,,,,,,,,,,,,,,,,
ACT_townhouses,80,90,98,133,140,25,196,107,100,74,120,31,67,29,130,132,68,218,75,9,35,,,,,,,,,,,,,,,,,,,,,
ACT_apartments,439,349,85,94,0,430,413,0,43,0,19,835,29,59,509,225,30,0,737,0,258,,,,,,,,,,,,,,,,,,,,,
ACT_other,519,439,183,227,140,455,609,107,143,74,139,866,96,88,639,357,98,218,812,9,293,,,,,,,,,,,,,,,,,,,,,
ACT_dwellings_$'000,51156,45194,26703,33687,44973,41343,27801,31706,33768,35490,43007,43705,41337,42366,27733,27562,36798,41201,36340,44301,33440,,,,,,,,,,,,,,,,,,,,,
ACT_townhouses_$'000,21558,24164,23614,31522,34193,7149,52279,28780,33305,21055,27975,7217,18903,9008,33705,26638,20426,48797,25004,2737,10171,,,,,,,,,,,,,,,,,,,,,
ACT_apartments_$'000,116989,128910,31874,16200,0,180000,119034,0,7564,0,5523,272490,7825,18527,144911,58932,6331,0,184722,0,73130,,,,,,,,,,,,,,,,,,,,,
ACT_other_$'000,138547,153074,55488,47722,34193,187149,171313,28780,40868,21055,33498,279707,26728,27535,178616,85570,26758,48797,209726,2737,83301,,,,,,,,,,,,,,,,,,,,,
NSW_dwellings,2729,2600,1971,1980,2046,2201,1746,2365,2000,2589,2076,1991,1942,1902,1713,1421,1832,2303,1939,2290,2053,,,,,,,,,,,,,,,,,,,,,
NSW_townhouses,669,834,519,642,749,788,599,728,596,607,670,774,590,948,474,563,791,716,790,704,576,,,,,,,,,,,,,,,,,,,,,
NSW_apartments,2179,1217,1461,1254,2296,1337,1801,1800,1477,932,1445,1287,862,2293,925,1288,1553,2345,873,744,439,,,,,,,,,,,,,,,,,,,,,
NSW_other,2848,2051,1980,1896,3045,2125,2400,2528,2073,1539,2115,2061,1452,3241,1399,1851,2344,3061,1663,1448,1015,,,,,,,,,,,,,,,,,,,,,
NSW_dwellings_$'000,925104,913709,699361,712699,726927,777751,622965,851492,709757,874238,719740,678592,718490,675314,600944,509952,676518,818030,686950,815787,728260,,,,,,,,,,,,,,,,,,,,,
NSW_townhouses_$'000,186547,244155,153676,186472,228361,218526,165878,220455,190265,177574,191520,225807,175363,284711,138935,166972,225841,226962,258408,222338,180039,,,,,,,,,,,,,,,,,,,,,
NSW_apartments_$'000,762982,428945,492138,447946,773759,455743,600243,578616,449861,285836,435408,530169,317071,726378,276498,474113,585129,730065,284362,218073,139468,,,,,,,,,,,,,,,,,,,,,
